id;BarLong;BarLat;Rayon;Weight;NbDays;Month;Year;Id
215;56.6855555556;26.4011111111;0.0;1.0;1.0;3;2014;2014-03_1_A
216;59.7088888888;-2.27513888888;285.215915407;2.0;17.0;3;2010;2010-03_1_I
217;65.1519444444;1.46666666667;0.0;1.0;0.0;3;2010;2010-03_2_I
218;41.8527083333;-4.08388888889;216.086640175;4.0;28.0;3;2010;2010-03_3_I
219;44.3;-9.58333333333;0.0;1.0;0.0;3;2010;2010-03_4_I
220;46.7222222222;-2.55;105.977825619;3.0;1.0;3;2010;2010-03_5_I
221;52.4333333333;2.05;0.0;1.0;0.0;3;2010;2010-03_6_I
222;51.25;-2.79166666667;139.888819811;2.0;8.0;4;2010;2010-04_1_I
223;44.1836111112;-7.19208333333;180.542430089;2.0;3.0;4;2010;2010-04_2_I
224;62.4927777778;1.80125;281.454181267;2.0;10.0;4;2010;2010-04_3_I
225;68.3635555556;9.25705555555;377.218818806;5.0;14.0;4;2010;2010-04_4_I
226;40.5797916667;-8.02930555556;246.246232053;4.0;26.0;5;2010;2010-05_1_I
227;68.0586111111;2.05013888889;352.624302141;4.0;15.0;5;2010;2010-05_2_I
228;63.3416666666;7.09236111111;167.002918973;2.0;4.0;9;2010;2010-09_1_I
229;40.3791666667;-7.5125;175.37223015;4.0;3.0;9;2010;2010-09_2_I
230;40.8;-9.86703703704;168.590251683;3.0;21.0;10;2010;2010-10_1_I
231;40.6945370371;-3.70574074074;205.291823738;6.0;20.0;10;2010;2010-10_2_I
232;50.4020833333;2.95833333333;68.9783620221;2.0;17.0;10;2010;2010-10_3_I
233;67.5172222222;6.58388888889;83.0513450657;2.0;2.0;10;2010;2010-10_4_I
234;59.5833333333;3.48333333333;0.0;1.0;0.0;10;2010;2010-10_5_I
235;67.2777777778;-0.26638888889;292.504596731;3.0;7.0;11;2010;2010-11_1_I
236;66.866712963;7.1837037037;306.708969755;6.0;28.0;11;2010;2010-11_2_I
237;42.0474537037;-4.07560185185;232.825566569;6.0;14.0;11;2010;2010-11_3_I
238;53.6752314815;0.783101851851;474.077364657;6.0;13.0;11;2010;2010-11_4_I
239;51.25;-6.71666666667;0.0;1.0;0.0;11;2010;2010-11_5_I
240;40.8679166667;-7.70902777778;214.775647616;2.0;3.0;12;2010;2010-12_1_I
241;59.6726388889;-0.692638888889;145.010712999;2.0;17.0;12;2010;2010-12_2_I
242;69.8111111111;7.89444444445;287.16878783;3.0;9.0;12;2010;2010-12_3_I
243;48.6672222222;29.6926388889;0.54308557206;2.0;0.0;8;2010;2010-08_1_I
244;39.5234259259;-6.79305555556;17.1573213931;3.0;1.0;8;2008;2008-08_1_I
245;76.0833333333;9.91666666667;0.0;1.0;0.0;8;2008;2008-08_2_I
246;39.4505555555;-6.71722222222;15.3693726317;3.0;5.0;9;2008;2008-09_1_I
247;51.9325;2.36405555556;304.574551104;5.0;12.0;9;2008;2008-09_2_I
248;76.2719444444;9.97083333333;0.0;1.0;0.0;9;2008;2008-09_3_I
249;39.5175;-6.72555555556;20.6157385626;2.0;14.0;4;2008;2008-04_1_I
250;49.1488888889;-0.106666666667;0.0;1.0;0.0;4;2008;2008-04_2_I
251;49.2719444444;1.58597222222;275.932944657;2.0;13.0;5;2008;2008-05_1_I
252;47.5283333334;-4.65092592592;292.530641458;3.0;2.0;11;2008;2008-11_1_I
253;50.6836111111;1.20138888889;0.0;1.0;0.0;11;2008;2008-11_2_I
254;39.5261111111;-5.74236111112;86.6903470617;2.0;11.0;2;2008;2008-02_1_I
255;39.5173611111;-5.76777777778;74.6121965449;2.0;10.0;3;2008;2008-03_1_I
256;57.6358333333;4.66722222222;0.0;1.0;0.0;3;2008;2008-03_2_I
257;39.4188888889;-6.6525;0.0;1.0;1.0;7;2008;2008-07_1_I
258;42.9965277778;-2.85597222223;62.7234204284;2.0;14.0;10;2008;2008-10_1_I
259;46.9666666667;-6.7;0.0;1.0;1.0;12;2008;2008-12_1_I
260;52.1277777778;-7.78333333334;252.689321766;3.0;17.0;5;2009;2009-05_1_I
261;56.1334027778;-2.90444444444;456.632499733;4.0;11.0;5;2009;2009-05_2_I
262;47.9666666667;4.2;0.0;1.0;0.0;5;2009;2009-05_3_I
263;39.3011111111;-6.70027777778;0.0;1.0;0.0;5;2009;2009-05_4_I
264;76.1130555556;9.92583333333;0.0;1.0;0.0;5;2009;2009-05_5_I
265;60.6916666667;-1.45833333333;150.303316493;2.0;21.0;12;2009;2009-12_1_I
266;61.0166666667;8.46666666667;0.0;1.0;0.0;12;2009;2009-12_2_I
267;76.0333333333;9.95;0.0;1.0;0.0;12;2009;2009-12_3_I
268;42.6197222222;-2.76944444444;0.0;1.0;0.0;12;2009;2009-12_4_I
269;58.8839583333;8.44173611111;75.7099007917;4.0;21.0;3;2009;2009-03_1_I
270;65.4666666667;7.93333333333;0.0;1.0;0.0;3;2009;2009-03_2_I
271;52.7400694445;2.19125;382.953994612;4.0;4.0;3;2009;2009-03_3_I
272;46.2232407407;-7.70175925926;128.926956786;3.0;8.0;3;2009;2009-03_4_I
273;49.6646666667;-2.78083333333;358.653413787;5.0;15.0;3;2009;2009-03_5_I
274;56.9740972222;7.74527777778;285.426377309;4.0;5.0;4;2009;2009-04_1_I
275;39.3425;-6.76180555556;0.932181785627;2.0;12.0;4;2009;2009-04_2_I
276;47.5;-2.69166666667;121.829585444;4.0;25.0;4;2009;2009-04_3_I
277;49.8336111111;1.05574074074;260.38161765;3.0;19.0;4;2009;2009-04_4_I
278;56.8546527778;-2.55020833333;312.549541045;4.0;24.0;4;2009;2009-04_5_I
279;51.5333333333;-7.76666666667;0.0;1.0;0.0;4;2009;2009-04_6_I
280;46.8188888889;-4.1587962963;238.267728181;3.0;23.0;10;2009;2009-10_1_I
281;55.9067222222;-2.25677777778;465.701848658;5.0;25.0;10;2009;2009-10_2_I
282;50.6833333333;1.41666666667;0.0;1.0;0.0;10;2009;2009-10_3_I
283;46.7528472222;-8.02701388889;224.608644056;4.0;14.0;11;2009;2009-11_1_I
284;45.8000925926;-3.38361111111;315.950914743;3.0;24.0;11;2009;2009-11_2_I
285;62.2850396825;-0.222420634921;197.787323108;7.0;20.0;11;2009;2009-11_3_I
286;54.5;6.58333333333;0.0;1.0;0.0;11;2009;2009-11_4_I
287;40.3933333334;-4.23402777778;244.760686566;2.0;20.0;1;2009;2009-01_1_I
288;39.3333333333;-6.71666666667;0.0;1.0;0.0;2;2009;2009-02_1_I
289;52.9166666667;4.55;0.0;1.0;0.0;2;2009;2009-02_2_I
290;54.6838888889;6.28416666667;0.0;1.0;1.0;8;2009;2009-08_1_I
291;45.5013888889;2.05222222222;0.0;1.0;1.0;9;2009;2009-09_1_I
292;64.4479166667;9.49319444444;225.896784156;2.0;20.0;3;2011;2011-03_1_I
293;76.0858333333;9.93472222222;0.0;1.0;0.0;3;2011;2011-03_2_I
294;52.6919444445;5.59222222222;156.096775814;2.0;15.0;3;2011;2011-03_3_I
295;46.6422222222;-4.65881944444;418.186398146;4.0;18.0;3;2011;2011-03_4_I
296;76.0691666667;9.91777777778;0.0;1.0;0.0;5;2011;2011-05_1_I
297;67.8833333333;8.53333333333;0.0;1.0;0.0;5;2011;2011-05_2_I
298;40.8341666666;-9.1925;20.8083662277;2.0;0.0;5;2011;2011-05_3_I
299;51.3666666667;6.83333333333;0.0;1.0;0.0;5;2011;2011-05_4_I
300;73.0333333333;9.41666666667;0.0;1.0;0.0;1;2011;2011-01_1_I
301;66.3333333333;4.33333333333;0.0;1.0;0.0;1;2011;2011-01_2_I
302;58.4722222222;2.81111111111;218.631320649;3.0;21.0;1;2011;2011-01_3_I
303;51.1833333333;3.16666666667;0.0;1.0;0.0;1;2011;2011-01_4_I
304;40.8333333333;-6.29166666666;81.7253993872;2.0;27.0;4;2011;2011-04_1_I
