Harbor;Latitude;Longitude
semarang;S 06 57;E 110 26
siammaspion;S 07 07;E 112 38
situbondooffshorelng;S 07 37;E 113 59
surabaya;S 07 12;E 112 44
tanjungbara;N 00 32;E 117 39
tanjungmerangas;N 00 02;E 117 32
tanjungpandan;S 02 45;E 107 39
tanjungpemancingan;S 03 13;E 116 17
tarakan;N 03 19;E 117 34
tarjun;S 03 17;E 116 07
tegal;S 06 51;E 109 08
telukkabung;S 01 02;E 100 24
tual;S 05 37;E 132 45
bandarabbas;N 27 06;E 056 05
larakisland;N 26 53;E 056 33
lavanisland;N 26 48;E 053 17
sirriisland;N 25 55;E 054 34
basraoilterminal;N 29 40;E 048 50
khoralamayaoilterm;N 29 47;E 048 48
khor%20al%20zubair;N 30 10;E 047 53
ummqasr;N 30 02;E 047 58
cobh;N 51 51;W 008 19
cork;N 51 51;W 008 17
dublin;N 53 21;W 006 12
killybegs;N 54 38;W 008 26
kilroot;N 54 43;W 005 45
rosslare;N 52 15;W 006 20
waterford;N 52 16;W 007 04
ramsey;N 54 19;W 004 22
ashdod;N 31 50;E 034 39
ashkelon;N 31 38;E 034 30
eilat;N 29 32;E 034 56
hadera;N 32 28;E 034 53
haifa;N 32 49;E 035 01
ancona;N 43 37;E 013 30
augusta;N 37 13;E 015 12
bari;N 41 08;E 016 51
brindisi;N 40 39;E 017 58
cagliari;N 39 13;E 009 06
carloforte;N 39 09;E 008 19
carrara;N 44 02;E 010 02
casamicciolaterme%20;N 40 45;E 013 55
catania;N 37 30;E 015 06
chioggia;N 45 13;E 012 17
civitavecchia;N 42 07;E 011 46
formia;N 41 15;E 013 37
gaeta;N 41 13;E 013 34
gela;N 37 01;E 014 14
GENOVA;N 44 24;E 008 51
gioiatauro;N 38 27;E 015 54
LASPEZIA;N 44 05;E 009 51
livorno;N 43 33;E 010 19
marinagrande;N 40 33;E 014 15
messina;N 38 12;E 015 34
monfalcone;N 45 47;E 013 33
naples;N 40 50;E 014 16
neapel;N 40 50;E 014 16
ortona;N 42 21;E 014 25
palermo;N 38 08;E 013 22
pantelleria;N 36 50;E 011 56
pescara;N 42 28;E 014 14
portoempedocle;N 37 17;E 013 32
Porto%20Nogaro;N 45 47;E 013 14
portotorres;N 40 51;E 008 23
portovesme;N 39 12;E 008 24
procida;N 40 46;E 014 02
ravenna;N 44 28;E 012 15
reggiocalabria;N 38 07;E 015 39
salerno;N 40 40;E 014 45
santantioco;N 39 03;E 008 28
sarroch;N 39 05;E 009 02
savona;N 44 19;E 008 30
siracusa;N 37 07;E 015 15
sorrento;N 40 38;E 014 23
taranto;N 40 28;E 017 12
termoli;N 42 00;E 015 00
trapani;N 38 01;E 012 31
trieste;N 45 38;E 013 47
vadoligure;N 44 16;E 008 27
venedig;N 45 25;E 012 15
viareggio;N 43 51;E 010 15
villasangiovanni;N 38 13;E 015 38
kingstonjamaica;N 17 58;W 076 48
port%20esquivel;N 17 53;W 077 08
rocky%20point;N 17 49;W 077 09
aji;N 34 23;E 134 07
akadomari;N 37 52;E 138 25
akita;N 39 46;E 140 03
akitafunagawa;N 39 52;E 139 51
aomori;N 40 50;E 140 44
beppu;N 33 18;E 131 30
chibaport;N 35 35;E 140 06
fukuyama;N 34 27;E 133 25
fushikitoyama;N 36 46;E 137 09
futtsu;N 35 32;E 140 28
gushikawa;N 26 20;E 127 51
hachinohe;N 40 33;E 141 32
hakata;N 33 37;E 130 23
hakodate;N 41 48;E 140 41
higashiharima;N 34 43;E 134 49
himeji;N 34 46;E 134 39
hiroshima;N 34 21;E 132 26
hitachi;N 36 30;E 140 37
hitachinaka;N 36 25;E 140 38
hososhima;N 32 26;E 131 39
ichihara;N 35 31;E 140 03
imabari;N 34 04;E 133 01
imabariship;N 34 07;E 132 58
ishikari;N 43 12;E 141 18
ishinomaki;N 38 25;E 141 18
iwakuni;N 34 12;E 132 15
kagoshima;N 31 32;E 130 32
kanazawa;N 36 37;E 136 36
kashima;N 35 55;E 140 41
kiire;N 31 23;E 130 33
kikuma;N 34 03;E 132 51
kinuura;N 34 52;E 136 58
kisarazu;N 35 21;E 139 52
kobe;N 34 41;E 135 13
kochi;N 33 32;E 133 34
kudamatsu;N 33 59;E 131 51
kure;N 34 14;E 132 33
kurihama;N 35 13;E 139 43
kushiro;N 42 59;E 144 21
marugame;N 34 18;E 133 47
matsuura;N 33 21;E 129 42
matsuyama;N 33 50;E 132 42
miikefukuoka;N 33 01;E 130 25
minamata;N 32 12;E 130 23
mishima-kawanoe;N 34 00;E 133 33
miura;N 35 08;E 139 37
miyazaki;N 31 55;E 131 28
mizushima;N 34 30;E 133 43
moji;N 33 56;E 130 59
muroran;N 42 21;E 140 58
nagashima;N 32 11;E 130 06
nagasukumamoto;N 32 55;E 130 28
nagoya;N 35 02;E 136 50
naha;N 26 14;E 127 40
nakanoseki;N 34 01;E 131 33
namikata;N 34 07;E 132 54
nanao;N 37 04;E 136 59
naoetsu;N 37 12;E 138 16
nemuro;N 43 20;E 145 35
niigatanishi;N 37 58;E 139 08
niihama;N 33 58;E 133 18
numazu;N 35 05;E 138 51
nyugawa;N 33 56;E 133 07
oarai;N 36 18;E 140 35
ogasawara;N 27 06;E 142 12
oita;N 33 16;E 131 40
omaezaki;N 34 37;E 138 13
omashimokita;N 41 32;E 140 54
reihoku;N 32 29;E 130 02
ryotsu;N 38 06;E 138 27
saganoseki;N 33 15;E 131 52
saijo;N 33 57;E 133 11
sakaide;N 34 21;E 133 51
sakaiminato;N 35 31;E 133 14
sendai;N 38 17;E 141 01
shibushi;N 31 27;E 131 06
shimizu;N 35 01;E 138 31
shimoda;N 34 40;E 138 57
shimonoseki;N 33 58;E 130 57
shiogama;N 38 19;E 141 03
soma;N 37 51;E 140 58
susaki;N 33 24;E 133 18
tadotsu;N 34 17;E 133 44
tagonoura;N 35 09;E 138 42
takamatsu;N 34 22;E 134 03
takuma;N 34 14;E 133 40
tamano;N 34 28;E 133 57
tokyo;N 35 37;E 139 55
tomakomai;N 42 39;E 141 39
tomakomaipower;N 42 36;E 141 48
toyohashi;N 34 43;E 137 19
jpube;N 33 57;E 131 13
usuki;N 33 07;E 131 49
wadomari;N 27 24;E 128 40
wakayama;N 34 12;E 135 09
wakkanai;N 45 24;E 141 41
yaizu;N 34 52;E 138 20
yanai;N 33 56;E 132 07
yatsushiro;N 32 32;E 130 33
yawatahama;N 33 27;E 132 24
yokkaichi;N 34 58;E 136 40
yokohama;N 35 27;E 139 42
yokosuka;N 35 18;E 139 39
aqaba;N 29 27;E 034 58
bautino;N 44 34;E 050 15
mombasa;S 04 04;E 039 39
minaalahmadi;N 29 07;E 048 09
shuaiba;N 29 02;E 048 10
shuwaikh;N 29 21;E 047 56
liepaja;N 56 32;E 021 01
mersrags;N 57 20;E 023 08
pavilosta;N 56 53;E 021 11
RIGA;N 56 59;E 024 08
roja;N 57 30;E 022 48
salacgriva;N 57 45;E 024 22
skulte;N 57 19;E 024 24
ventspils;N 57 24;E 021 34
beirut;N 33 55;E 035 32
tripoli;N 34 28;E 035 50
buchanan;N 05 52;W 010 03
monrovia;N 06 21;W 010 48
azzawiyahl;N 32 48;E 012 41
benghazi;N 32 06;E 020 03
marsaelbrega;N 30 25;E 019 35
mellitah;N 32 52;E 012 14
misrata;N 32 21;E 015 14
raslanuf;N 30 30;E 018 35
tobruq;N 32 04;E 023 59
tripolis;N 32 55;E 013 12
zuara;N 32 55;E 012 07
KLAIPEDA;N 55 41;E 021 08
toamasina;S 18 09;E 049 26
kualabaram;N 04 34;E 114 01
kuantan;N 03 59;E 103 25
kunak;N 04 42;E 118 15
labuan;N 05 16;E 115 14
lahaddatu;N 05 01;E 118 21
lankawi;N 06 26;E 099 46
lumutmalaysia;N 04 15;E 100 40
malakka;N 02 14;E 102 08
manjung;N 04 09;E 100 38
miri;N 04 26;E 113 60
pasirgudang;N 01 27;E 103 54
penang;N 05 24;E 100 22
portdickson;N 02 32;E 101 47
portklang;N 02 59;E 101 20
tanjungberhala;N 04 15;E 103 28
tanjungpelepas;N 01 22;E 103 33
tawau;N 04 15;E 117 53
male;N 04 11;E 073 30
cirkewwa;N 35 59;E 014 20
marsaxlokk;N 35 49;E 014 32
mgarr;N 36 02;E 014 18
valletta;N 35 54;E 014 31
nouakchott%20;N 17 59;W 016 02
portlouis;S 20 09;E 057 30
acapulco;N 16 51;W 099 54
altamira;N 22 29;W 097 53
campeche;N 19 50;W 090 34
cayoarcas;N 18 50;W 091 44
ciudaddelcarmen;N 18 39;W 091 51
coatzacoalcos;N 18 08;W 094 24
cozumel%20;N 20 30;W 086 58
ensenada;N 31 51;W 116 38
guaymas;N 27 55;W 110 53
lapaz;N 24 09;W 110 20
lazarocardenas;N 17 57;W 102 10
manzanillo;N 19 04;W 104 18
morroredondo;N 28 03;W 115 11
pichilingue;N 24 16;W 110 20
progreso;N 21 19;W 089 40
salinacruz;N 16 10;W 095 12
santarosalia;N 27 20;W 112 16
tampico;N 22 14;W 097 52
topolobampo;N 25 36;W 109 03
tuxpan;N 20 59;W 097 22
veracruz;N 19 12;W 096 08
montecarlo;N 43 44;E 007 25
agadir;N 30 25;W 009 38
casablanca;N 33 36;W 007 36
eljadida;N 33 15;W 008 30
jorflasfar;N 33 08;W 008 38
laayoune;N 27 06;W 013 26
mohammedia;N 33 43;W 007 24
tanger;N 35 47;W 005 48
tangermed;N 35 54;W 005 30
beira;S 19 49;E 034 50
maputo;S 25 58;E 032 32
nacala;S 14 33;E 040 40
LUEDERITZ;S 26 37;E 015 08
walvisbay;S 22 58;E 014 29
AMSTERDAM;N 52 25;E 004 50
arnheim;N 51 58;E 005 55
breskens;N 51 24;E 003 34
cuijk;N 51 45;E 005 51
delfzijl;N 53 20;E 006 57
denhelder;N 52 57;E 004 47
denoever;N 52 56;E 005 02
dordrecht;N 51 47;E 004 40
EEMSHAVEN;N 53 27;E 006 50
enkhuizen;N 52 42;E 005 17
foxhol;N 53 10;E 006 43
geertruidenberg;N 51 42;E 004 51
giessendam;N 51 49;E 004 52
gorinchem;N 51 50;E 004 58
haarlem;N 52 23;E 004 39
HANSWEERT;N 51 27;E 004 01
HARLINGEN;N 53 11;E 005 25
heijen;N 51 41;E 005 58
hengelo;N 52 15;E 006 47
IJMUIDEN;N 52 28;E 004 37
kornwerderzand;N 53 04;E 005 20
lauwersoog;N 53 24;E 006 12
lelystad;N 52 32;E 005 26
maashees;N 51 34;E 006 02
marken;N 52 27;E 005 06
moerdijk;N 51 41;E 004 35
monnickendam;N 52 28;E 005 03
muiden;N 52 20;E 005 04
nieuwegein;N 52 01;E 005 07
nijmegen;N 51 51;E 005 50
oostmahorn;N 53 23;E 006 10
oudeschild;N 53 03;E 004 51
rotterdam;N 51 53;E 004 23
schiermonnikoog;N 53 28;E 006 12
sliedrecht;N 51 49;E 004 46
stavoren;N 52 53;E 005 22
stellendam;N 51 49;E 004 02
TERNEUZEN;N 51 18;E 003 48
terschellingwest;N 53 22;E 005 13
tolkamer;N 51 51;E 006 06
tuindorp;N 51 51;E 006 05
urk;N 52 40;E 005 36
utrecht;N 52 05;E 005 05
VLISSINGEN;N 51 27;E 003 39
volendam;N 52 29;E 005 04
wanssum;N 51 32;E 006 05
wemeldinge;N 51 31;E 004 00
werkendam;N 51 49;E 004 53
zwijndrecht;N 51 49;E 004 38
bullenbay;N 12 11;W 069 01
curacao;N 12 06;W 068 54
goto;N 12 13;W 068 23
sintmaarten;N 18 02;W 063 06
willemstad;N 12 07;W 068 56
auckland;S 36 50;E 174 46
lyttelton%20;S 43 36;E 172 43
napier;S 39 28;E 176 55
newplymouth;S 39 03;E 174 02
portchalmers;S 45 49;E 170 38
portnelson;S 41 16;E 173 16
tauranga;S 37 39;E 176 10
timaru;S 44 23;E 171 16
wellington;S 41 17;E 174 47
bonny;N 04 25;E 007 09
calabar;N 05 01;E 008 19
lagos;N 06 27;E 003 21
onne;N 04 41;E 007 10
portharcourt;N 04 47;E 006 60
tincanlagos;N 06 26;E 003 21
warri;N 05 31;E 005 44
aaheim;N 62 03;E 005 31
aalesund;N 62 28;E 006 08
andenes;N 69 20;E 016 08
ardalstangen;N 61 14;E 007 42
arsvagen;N 59 10;E 005 27
askoy;N 60 24;E 005 13
bergen;N 60 23;E 005 14
berlevaag;N 70 52;E 029 06
bodoe;N 67 17;E 014 23
borgundvag;N 62 09;E 005 18
brevik;N 59 04;E 009 42
egersund;N 58 27;E 005 60
fedje;N 60 47;E 004 43
floro;N 61 36;E 005 02
halden;N 59 07;E 011 24
hammerfall;N 67 24;E 015 32
hammerfest;N 70 39;E 023 39
hanoytangen;N 60 26;E 005 06
haugesund;N 59 24;E 005 16
holmestrand;N 59 29;E 010 19
hommelvik;N 63 25;E 010 47
horten;N 59 25;E 010 29
hovland;N 58 27;E 005 59
hoyanger;N 61 13;E 006 04
husoy;N 59 20;E 005 18
karsto;N 59 16;E 005 30
kaupanger;N 61 11;E 007 15
kirkenes;N 69 43;E 030 03
kopervik;N 59 17;E 005 18
kragero;N 58 52;E 009 25
kristiansand;N 58 06;E 007 59
kristiansund;N 63 07;E 007 45
larvik;N 59 03;E 010 02
moirana;N 66 19;E 014 07
mongstad;N 60 48;E 005 02
mosjoen;N 65 51;E 013 11
Moss;N 59 26;E 010 40
narvik;N 68 25;E 017 24
oslo;N 59 53;E 010 45
porsgrunn;N 59 07;E 009 38
rafnes;N 59 06;E 009 35
roervik;N 64 52;E 011 15
sandefjord;N 59 07;E 010 14
sandnes;N 58 52;E 005 45
sandnessjoen;N 66 01;E 012 38
sarpsborg;N 59 16;E 011 04
skien;N 59 07;E 009 34
slagen;N 59 19;E 010 31
slovag;N 60 51;E 005 04
stavanger;N 58 60;E 005 41
stavern;N 58 60;E 010 03
straumen;N 67 21;E 015 35
sture;N 60 37;E 004 52
tananger;N 58 55;E 005 35
tofte;N 59 33;E 010 34
tonsberg;N 59 16;E 010 24
torangsvag;N 60 07;E 005 10
tromso;N 69 39;E 018 58
tromsobreivika;N 69 41;E 018 59
trondheim;N 63 26;E 010 23
vindenes;N 60 25;E 005 00
vormedal;N 59 21;E 005 19
minaalfahal;N 23 39;E 058 31
muscat;N 23 38;E 058 34
salalah;N 16 57;E 054 01
sohar;N 24 30;E 056 38
gadanibeach;N 25 02;E 066 42
karachi;N 24 50;E 066 59
qasim;N 24 47;E 067 20
bahialasminas;N 09 23;W 079 49
panamaport;N 08 59;W 079 35
colon;N 09 21;W 079 55
manzanillopanama;N 09 22;W 079 53
portmoresby;S 09 27;E 147 07
callao;S 12 03;W 077 09
ilo;S 17 39;W 071 21
lapampilla;S 11 57;W 077 08
matarani;S 16 60;W 072 06
bataan;N 14 29;E 120 37
calaca;N 13 55;E 120 49
cebu;N 10 18;E 123 55
davao;N 07 12;E 125 41
hanjinsubic;N 14 49;E 120 13
keppelsubic;N 14 53;E 120 13
limayterminals;N 14 31;E 120 37
manila;N 14 36;E 120 58
subicbay;N 14 49;E 120 17
darlowo;N 54 26;E 016 23
GDANSK;N 54 23;E 018 42
GDYNIA;N 54 32;E 018 32
hel;N 54 36;E 018 48
police;N 53 34;E 014 35
swinoujscie;N 53 54;E 014 16
SZCZECIN;N 53 26;E 014 35
wladyslawowo;N 54 48;E 018 25
aveiro;N 40 39;W 008 42
cascais;N 38 42;W 009 25
faro;N 37 00;W 007 55
figueiradafoz%20;N 40 09;W 008 51
funchal;N 32 39;W 016 55
horta;N 38 32;W 028 37
lagosportu;N 37 06;W 008 40
leixoes;N 41 11;W 008 42
LISSABON;N 38 43;W 009 08
pontadelgada;N 37 44;W 025 40
portimao;N 37 07;W 008 32
sao%20roque%20do%20pico;N 38 32;W 028 19
SETUBAL;N 38 29;W 008 51
sines;N 37 56;W 008 51
Viladaslajes;N 39 23;W 031 10
guayanilla;N 17 59;W 066 46
sanjuanpr;N 18 27;W 066 06
alshaheen;N 26 34;E 051 59
doha;N 25 18;E 051 33
raslaffan;N 25 55;E 051 36
ummsaid;N 24 56;E 051 35
leportreunion;S 20 56;E 055 18
portreunioneast;S 20 56;E 055 19
capumidia;N 44 20;E 028 40
constanta;N 44 09;E 028 40
mangalia;N 43 48;E 028 34
tulcea;N 45 11;E 028 48
azov;N 47 07;E 039 24
baltiysk;N 54 38;E 019 56
jeisk;N 46 44;E 038 16
kaliningrad;N 54 38;E 020 17
kavkaz;N 45 20;E 036 40
kronshtadt;N 59 60;E 029 45
lomonosov;N 59 55;E 029 46
murmansk;N 68 59;E 033 04
nakhodka%20;N 42 48;E 132 53
novorossiysk;N 44 43;E 037 49
primorsk;N 60 20;E 028 43
rostov;N 47 12;E 039 40
shakhtersk;N 49 10;E 142 03
slavyanka;N 42 52;E 131 24
sovetskaya%20gavan;N 48 59;E 140 17
STPETERSBURG;N 59 55;E 030 17
taganrog;N 47 12;E 038 57
taman;N 45 07;E 036 40
temryuk;N 45 20;E 037 22
tuapse;N 44 05;E 039 04
ustluga;N 59 41;E 028 22
vanino;N 49 06;E 140 19
vladivostok;N 43 06;E 131 54
vostochny;N 42 44;E 133 03
vrangel;N 42 43;E 133 04
vysotsk;N 60 37;E 028 34
basseterre;N 17 17;W 062 43
charlestown;N 17 07;W 062 38
christopheharbourmarina;N 17 15;W 062 39
castries;N 14 01;W 060 60
aljubail;N 27 02;E 049 40
dammam;N 26 30;E 050 12
jeddah;N 21 29;E 039 09
kingabdullahport;N 22 31;E 039 06
qadimah;N 22 20;E 039 06
rabigh;N 22 44;E 039 00
yanbu;N 23 60;E 038 10
Dakar;N 14 41;W 017 26
victoria;S 04 38;E 055 28
freetown;N 08 29;W 013 13
loyang;N 01 23;E 103 58
sembawang;N 01 28;E 103 50
singapore;N 01 15;E 103 44
bratislava;N 48 08;E 017 08
berbera;N 10 26;E 044 60
mogadishu;N 02 02;E 045 21
saylac;N 11 21;E 043 29
capetown;S 33 55;E 018 26
DURBAN;S 29 53;E 031 02
eastlondon;S 33 02;E 027 54
houtbay;S 34 03;E 018 21
mosselbay;S 34 11;E 022 09
ngqura;S 33 48;E 025 41
PORTELIZABETH;S 33 58;E 025 38
portnolloth;S 29 16;E 016 52
richardsbay;S 28 49;E 032 04
sainthelenabay;S 32 45;E 018 01
saldanha;S 33 01;E 017 59
anjeong;N 34 57;E 128 26
busan;N 35 06;E 129 04
busan%20new%20port;N 35 04;E 128 48
daesanseosan;N 37 01;E 126 23
dangjin;N 37 00;E 126 39
gohyeon;N 34 54;E 128 37
gunsan;N 35 59;E 126 38
gwangyang;N 34 56;E 127 41
incheon;N 37 26;E 126 39
mokpo;N 34 47;E 126 24
okpo;N 34 53;E 128 42
Pohang;N 36 02;E 129 24
pyeongtaek;N 36 57;E 126 50
taean;N 36 55;E 126 14
ulsan;N 35 28;E 129 24
yeongheung;N 37 14;E 126 27
Yeosu;N 34 48;E 127 42
alcanar;N 40 34;E 000 33
ALGECIRAS;N 36 08;W 005 26
alicante;N 38 20;W 000 30
arrecife;N 28 58;W 013 32
aviles;N 43 35;W 005 55
barcelona;N 41 20;E 002 09
bilbao;N 43 19;W 003 01
blanes;N 41 40;E 002 48
cadiz;N 36 31;W 006 16
campamento;N 36 10;W 005 22
cangasdemorrazo;N 42 16;W 008 44
caraminal;N 42 36;W 008 56
carboneras;N 36 58;W 001 54
cartagenaspain;N 37 35;W 000 58
CARTEYAGUADARRANQUE;N 36 10;W 005 24
castellon;N 39 58;E 000 01
CEUTA;N 35 54;W 005 19
denia;N 38 51;E 000 07
elferrol;N 43 29;W 008 13
gandia;N 38 60;W 000 09
gijon;N 43 34;W 005 42
huelva;N 37 12;W 006 56
ibiza;N 38 55;E 001 27
lacoruna;N 43 22;W 008 24
lasavina;N 38 44;E 001 25
laspalmas;N 28 08;W 015 25
loscristianos;N 28 03;W 016 43
malaga;N 36 42;W 004 25
motril;N 36 43;W 003 31
palma;N 39 33;E 002 38
portandraitx;N 39 33;E 002 23
puertodelrosario;N 28 30;W 013 51
puertomarin;N 42 24;W 008 42
puertoportal;N 39 32;E 002 34
ribeira;N 42 34;W 008 59
sagunto;N 39 39;W 000 13
sansebastiangomera;N 28 05;W 017 07
santacruzdetenerife;N 28 28;W 016 14
santaeulaliadelrio;N 38 59;E 001 32
SANTANDER;N 43 26;W 003 49
santantoni;N 38 59;E 001 18
sanxenxo;N 42 24;W 008 48
sevilla;N 37 21;W 005 60
tarifa;N 36 01;W 005 36
tarragona;N 41 06;E 001 13
torrevieja;N 37 58;W 000 41
valencia;N 39 26;W 000 19
vigo;N 42 15;W 008 42
vilanova;N 41 13;E 001 44
colombo;N 06 57;E 079 51
galle;N 06 02;E 080 14
portsudan;N 19 36;E 037 14
ahus;N 55 56;E 014 19
angelholm;N 56 16;E 012 50
brofjorden;N 58 21;E 011 25
falkenberg;N 56 54;E 012 29
faeroesund;N 57 52;E 019 03
fotoe;N 57 40;E 011 40
frederikstad;N 59 12;E 010 56
gaevle;N 60 41;E 017 14
glommen;N 56 56;E 012 21
GOTHENBURG;N 57 42;E 011 54
grums;N 59 20;E 013 07
hallstavik;N 60 04;E 018 35
halmstad;N 56 40;E 012 51
haernoesand;N 62 38;E 017 56
helsingborg;N 56 02;E 012 42
hoenoe;N 57 41;E 011 39
hudiksvall;N 61 43;E 017 07
husumsweden;N 63 19;E 019 10
iggesund;N 61 37;E 017 08
kalmar;N 56 40;E 016 22
kapellskar;N 59 43;E 019 04
kappelshamn;N 56 09;E 014 51
karlsborg;N 65 50;E 023 12
karlshamn;N 56 09;E 014 51
karlskrona;N 56 10;E 015 36
karlstad;N 59 21;E 013 29
kristinehamn;N 59 19;E 014 05
kubikenborg;N 62 22;E 017 22
kungshamn;N 58 21;E 011 14
landskrona;N 55 52;E 012 50
lidkoping;N 58 31;E 013 10
lulea;N 65 34;E 022 12
lysekil;N 58 16;E 011 27
MALMO;N 55 37;E 012 59
mariestad;N 58 43;E 013 49
marstrand;N 57 53;E 011 35
norrkoping;N 58 37;E 016 13
norrsundet;N 60 56;E 017 09
nygard;N 57 03;E 012 16
nynashamn;N 58 54;E 017 57
oeckero;N 57 42;E 011 40
oernskoeldsvik;N 63 16;E 018 45
oskarshamn;N 57 16;E 016 28
oestrand;N 62 29;E 017 20
oxelosund;N 58 40;E 017 07
pitea;N 65 15;E 021 31
raa;N 55 60;E 012 45
roeroe;N 57 46;E 011 37
simrishamn;N 55 33;E 014 21
skelleftehamn;N 64 40;E 021 15
skillinge;N 55 28;E 014 17
skutskaer;N 60 39;E 017 24
slitegotland;N 57 43;E 018 48
soderhamn;N 61 18;E 017 07
sodramonsteras;N 57 06;E 016 33
soedertaelje;N 59 11;E 017 39
soelvesborg;N 56 02;E 014 35
soraker;N 62 30;E 017 30
stenungsund;N 58 05;E 011 49
stockholm;N 59 19;E 018 04
stockvik;N 62 20;E 017 22
stromstad;N 58 56;E 011 10
sundsvall;N 62 24;E 017 21
TRELLEBORG;N 55 22;E 013 09
tunadal;N 62 27;E 017 23
uddevalla;N 58 20;E 011 53
umea;N 63 45;E 020 19
vallvik;N 61 12;E 017 09
vanersborg;N 58 23;E 012 19
varberg;N 57 07;E 012 15
vasteras;N 59 36;E 016 34
vaestervik;N 57 45;E 016 40
videbergshamn;N 57 15;E 012 07
visby;N 57 38;E 018 17
vrango;N 57 34;E 011 47
wallhamn;N 58 00;E 011 42
ystad;N 55 25;E 013 49
basel;N 47 34;E 007 38
lattakia;N 35 32;E 035 46
tartus;N 34 54;E 035 52
anping;N 22 59;E 120 10
kaohsiung;N 22 34;E 120 18
keelung;N 25 09;E 121 45
mailiao;N 23 47;E 120 12
taichung;N 24 15;E 120 30
teipei;N 25 09;E 121 23
yungan;N 22 50;E 120 12
daressalaam;S 06 50;E 039 18
mtwara;S 10 16;E 040 12
zanzibar;S 06 09;E 039 12
bangkok;N 13 23;E 100 45
kosichang;N 13 09;E 100 49
laemchabang%20;N 13 07;E 100 54
maptaphut;N 12 39;E 101 09
phuket;N 07 57;E 098 24
rayong;N 12 39;E 101 18
sattahip;N 12 38;E 100 55
songkhla;N 07 13;E 100 35
lome;N 06 08;E 001 17
guayaguayare;N 10 08;W 061 00
La%20Brea;N 10 15;W 061 38
laretraite;N 10 41;W 061 38
pointfortin;N 10 12;W 061 42
pointlisas;N 10 24;W 061 29
portofspain;N 10 39;W 061 31
scarborough;N 11 11;W 060 44
bizerte;N 37 15;E 009 52
didonterm;N 33 50;E 011 56
gabes;N 33 55;E 010 06
menzelbourguiba;N 37 09;E 009 49
monastir;N 35 45;E 010 50
sfax;N 34 43;E 010 46
sousse;N 35 49;E 010 39
tunis;N 36 48;E 010 17
zarzis;N 33 29;E 011 07
aliagat;N 38 49;E 026 57
altinova;N 40 43;E 029 29
bandirma;N 40 22;E 027 56
bartin;N 41 41;E 032 14
canakkale;N 40 09;E 026 24
Ceyhan;N 36 52;E 035 56
dikili;N 39 04;E 026 53
doertyol;N 36 49;E 036 11
eregli;N 41 16;E 031 25
gebze;N 40 47;E 029 34
gemlik;N 40 25;E 029 06
hopa;N 41 25;E 041 26
icdas;N 40 26;E 027 05
iskenderun;N 36 40;E 036 12
ISTANBUL;N 40 56;E 028 58
izmir;N 38 27;E 027 08
izmit;N 40 46;E 029 43
kyme;N 38 46;E 026 56
marmara%20ereglisi;N 40 59;E 027 57
mersin;N 36 48;E 034 39
mudanya;N 40 22;E 028 54
samsun;N 41 18;E 036 21
saraylar;N 40 39;E 027 40
tekirdag;N 40 58;E 027 31
trabzon;N 41 00;E 039 44
tuzla;N 40 51;E 029 15
zonguldak;N 41 27;E 031 47
providenciales;N 21 44;W 072 16
berdiansk;N 46 43;E 036 47
dneprobugskiy;N 46 46;E 031 56
illichevsk;N 46 20;E 030 39
ismajil;N 45 19;E 028 51
kerch;N 45 19;E 036 27
kherson;N 46 36;E 032 34
mariupol;N 47 03;E 037 30
mykolayiv;N 46 56;E 031 59
nikolayev;N 46 51;E 031 59
ochakiv;N 46 37;E 031 34
odessa;N 46 30;E 030 45
sevastopol;N 44 36;E 033 31
yuzhny;N 46 38;E 031 01
abu%20dhabi;N 24 27;E 054 24
ajman;N 25 25;E 055 28
alhamriyaport;N 25 28;E 055 30
aljazirat;N 25 43;E 055 48
arruways;N 24 09;E 052 43
burjalarabmarina;N 25 09;E 055 11
dasisland;N 25 08;E 052 54
dubai;N 25 19;E 055 19
fujairah;N 25 11;E 056 22
jebelali;N 25 01;E 055 01
khalifa;N 24 47;E 054 41
khorfakkan;N 25 21;E 056 22
minasaqr;N 25 59;E 056 03
rakmaritimecity;N 25 57;E 056 03
rasalkhaimah;N 25 48;E 055 57
sharjah;N 25 28;E 055 30
sirbaniyas;N 24 17;E 052 37
ABERDEEN;N 57 09;W 002 05
avonmouth;N 51 30;W 002 43
bangor;N 54 40;W 005 40
barrowinfurness;N 54 06;W 003 13
barry;N 51 24;W 003 16
belfast;N 54 37;W 005 53
berwickupontweed;N 55 46;W 002 01
birkenhead;N 53 24;W 003 02
blyth;N 55 08;W 001 31
bphambleterm;N 50 51;W 001 20
brightlingsea;N 51 48;E 001 01
bristoluk;N 51 30;W 002 42
brixham;N 50 24;W 003 31
bromborough;N 53 21;W 002 59
burntisland;N 56 03;W 003 14
cairnryan;N 54 58;W 005 01
cardiff;N 51 28;W 003 10
CHATHAM;N 51 24;E 000 32
cliffe;N 51 28;E 000 27
CORYTON;N 51 31;E 000 30
cowes;N 50 45;W 001 17
dagenham;N 51 31;E 000 07
denton;N 50 47;E 000 03
dover;N 51 07;E 001 20
dundee;N 56 28;W 002 57
eastham;N 53 19;W 002 57
edinburgh;N 55 59;W 003 11
ellesmere;N 53 18;W 002 53
erith;N 51 29;E 000 11
fairlie;N 55 46;W 004 52
falmouth;N 50 09;W 005 04
faslane;N 56 04;W 004 49
fawley;N 50 50;W 001 20
felixstowe;N 51 57;E 001 18
