Harbor;Latitude;Longitude
aojiang;N 27 35;E 120 34
basuo;N 19 05;E 108 37
bayuquan;N 40 22;E 122 10
beigouzhen;N 37 47;E 120 38
beihai;N 21 27;E 109 05
bilixiang;N 26 27;E 119 42
bohaixiang;N 39 59;E 119 50
cangzhou;N 38 19;E 117 53
caobeidian;N 38 57;E 118 31
caofeidian;N 38 57;E 118 32
caojingzhen;N 30 46;E 121 27
changbaiisland;N 30 10;E 122 02
changshu;N 31 46;E 120 58
changzhou;N 31 58;E 120 02
chenghai;N 23 26;E 116 57
chengnei;N 20 16;E 110 13
chiwan;N 22 29;E 113 52
chongwu;N 24 53;E 118 56
dachanbay;N 22 32;E 113 52
dafeng;N 33 17;E 120 49
daishan;N 30 16;E 122 09
dalian;N 38 58;E 121 45
damendao;N 28 00;E 121 04
dandong;N 39 51;E 124 09
dasha;N 30 08;E 122 04
dayangshenisland;N 30 35;E 122 04
dongguan;N 23 01;E 113 42
donghaizhen;N 24 53;E 118 41
dongshandao;N 23 45;E 117 31
dongshi;N 24 40;E 118 27
dongtou;N 27 50;E 121 08
dongying;N 37 16;E 119 01
doumen;N 22 13;E 113 18
etouwan;N 21 51;E 112 55
fangchenggang;N 21 36;E 108 22
fengcheng;N 36 41;E 121 14
fengqiancun;N 25 10;E 118 59
foshan;N 22 59;E 113 05
fujianguanhai;N 26 09;E 119 36
fuqingsongxia;N 25 41;E 119 35
fuzhou;N 26 03;E 119 20
gaoming;N 22 53;E 112 53
gaoqiaozhen;N 40 49;E 121 03
guandongterminal;N 22 35;E 114 26
guangzhou;N 22 57;E 113 29
gulangyu;N 24 25;E 118 03
haian;N 20 16;E 110 13
haianrailferry;N 20 14;E 110 07
haikou;N 20 04;E 110 16
haimen;N 31 47;E 121 06
hanjiang;N 24 49;E 118 43
heshan;N 24 32;E 118 11
hongkong;N 22 21;E 114 08
hongxong;N 31 37;E 121 24
houlingcun;N 39 59;E 119 50
houshi;N 24 19;E 118 08
hrddchongmingislang;N 31 36;E 121 27
huadu;N 23 22;E 113 20
huanghaiyard;N 36 56;E 122 28
huanghua;N 38 19;E 117 53
huangpu;N 23 06;E 113 26
huizhou;N 22 43;E 114 35
hukou;N 23 11;E 116 39
huludao;N 40 43;E 120 59
jiahongkonglogistics;N 30 39;E 121 11
jiangmen;N 22 38;E 113 07
Jiangyin;N 31 57;E 120 15
jiaojiang;N 28 41;E 121 24
