Harbor;Latitude;Longitude;Latitude2;Longitude2
kotka;N 60 28;E 026 56;60.4666666667;26.9333333333
kuopio;N 62 52;E 027 41;62.8666666667;27.6833333333
lappeenranta;N 61 04;E 028 12;61.0666666667;28.2
loviisa;N 60 26;E 026 15;60.4333333333;26.25
maentyluoto;N 61 36;E 021 29;61.6;21.4833333333
mariehamn;N 60 06;E 019 56;60.1;19.9333333333
naantali;N 60 27;E 022 03;60.45;22.05
oulu;N 65 01;E 025 27;65.0166666667;25.45
pietarsaarijakobstad;N 63 42;E 022 42;63.7;22.7
porvoo;N 60 20;E 025 35;60.3333333333;25.5833333333
raahe;N 64 40;E 024 25;64.6666666667;24.4166666667
rahja;N 64 13;E 023 42;64.2166666667;23.7
rauma;N 61 07;E 021 27;61.1166666667;21.45
savonlinna;N 61 53;E 028 53;61.8833333333;28.8833333333
siilinjarvi;N 63 05;E 027 43;63.0833333333;27.7166666667
tahkoluoto;N 61 38;E 021 24;61.6333333333;21.4
tornio;N 65 46;E 024 10;65.7666666667;24.1666666667
turku;N 60 27;E 022 10;60.45;22.1666666667
uusikaupunki;N 60 48;E 021 22;60.8;21.3666666667
vaasa;N 63 05;E 021 36;63.0833333333;21.6
varkaus;N 62 19;E 027 54;62.3166666667;27.9
vuoksenterminal;N 61 14;E 028 49;61.2333333333;28.8166666667
antibes;N 43 35;E 007 08;43.5833333333;7.13333333333
antifer;N 49 40;E 000 08;49.6666666667;0.133333333333
caenouistreham;N 49 14;W 000 17;49.2333333333;-0.283333333333
calais;N 50 58;E 001 52;50.9666666667;1.86666666667
cannes;N 43 33;E 007 02;43.55;7.03333333333
cherbourg;N 49 39;W 001 37;49.65;-1.61666666667
concarneau;N 47 52;W 003 55;47.8666666667;-3.91666666667
cordemais;N 47 17;W 001 53;47.2833333333;-1.88333333333
dunkirk;N 51 02;E 002 16;51.0333333333;2.26666666667
fessenheim;N 47 54;E 007 34;47.9;7.56666666667
FOSSURMER;N 43 25;E 004 53;43.4166666667;4.88333333333
golfejuan;N 43 34;E 007 05;43.5666666667;7.08333333333
honfleur;N 49 26;E 000 13;49.4333333333;0.216666666667
laciotat;N 43 10;E 005 37;43.1666666667;5.61666666667
larochelle;N 46 09;W 001 14;46.15;-1.23333333333
laseynesurmer;N 43 06;E 005 54;43.1;5.9
LEHAVRE;N 49 27;E 000 19;49.45;0.316666666667
marseille;N 43 20;E 005 20;43.3333333333;5.33333333333
nantes;N 47 12;W 001 37;47.2;-1.61666666667
noirmoutier;N 47 02;W 002 18;47.0333333333;-2.3
paris;N 48 57;E 002 17;48.95;2.28333333333
PORTDEBOUC;N 43 24;E 005 00;43.4;5.0
portlanouvelle;N 43 01;E 003 03;43.0166666667;3.05
rouen;N 49 24;E 001 03;49.4;1.05
saintmalo;N 48 39;W 002 01;48.65;-2.01666666667
saintmandrier;N 43 05;E 005 55;43.0833333333;5.91666666667
saintnazaire;N 47 12;W 002 15;47.2;-2.25
SETE;N 43 24;E 003 43;43.4;3.71666666667
stbarth;N 17 54;W 062 52;17.9;-62.8666666667
caplopezoilterm;S 00 38;E 008 43;-0.633333333333;8.71666666667
portgentil;S 00 44;E 008 48;-0.733333333333;8.8
portgentiloil;S 00 41;E 008 47;-0.683333333333;8.78333333333
Batumi;N 41 39;E 041 39;41.65;41.65
poti;N 42 09;E 041 39;42.15;41.65
ahlbeck;N 53 57;E 014 12;53.95;14.2
amrum;N 54 38;E 008 23;54.6333333333;8.38333333333
aschaffenburg;N 49 59;E 009 05;49.9833333333;9.08333333333
bamberg;N 49 55;E 010 52;49.9166666667;10.8666666667
bensersiel;N 53 41;E 007 34;53.6833333333;7.56666666667
bonn;N 50 45;E 007 06;50.75;7.1
borkum;N 53 34;E 006 45;53.5666666667;6.75
BRAKE;N 53 21;E 008 29;53.35;8.48333333333
breiholz;N 54 13;E 009 34;54.2166666667;9.56666666667
breisachamrhein;N 48 01;E 007 35;48.0166666667;7.58333333333
BREMEN;N 53 05;E 008 47;53.0833333333;8.78333333333
bremenfarge;N 53 12;E 008 31;53.2;8.51666666667
bremerhaven;N 53 33;E 008 34;53.55;8.56666666667
BRUNSBUETTEL;N 53 54;E 009 10;53.9;9.16666666667
buesum;N 54 07;E 008 52;54.1166666667;8.86666666667
BUETZFLETH;N 53 39;E 009 31;53.65;9.51666666667
burgstaaken;N 54 25;E 011 11;54.4166666667;11.1833333333
calvoerde;N 52 24;E 011 17;52.4;11.2833333333
castroprauxel;N 51 35;E 007 17;51.5833333333;7.28333333333
CUXHAVEN;N 53 52;E 008 52;53.8666666667;8.86666666667
dagebuell;N 54 44;E 008 42;54.7333333333;8.7
deggendorf;N 48 49;E 012 57;48.8166666667;12.95
ditzum;N 53 19;E 007 17;53.3166666667;7.28333333333
dormagen;N 51 05;E 006 51;51.0833333333;6.85
dorsten;N 51 40;E 006 59;51.6666666667;6.98333333333
dorumersiel;N 53 41;E 007 29;53.6833333333;7.48333333333
dorumneufeld;N 53 44;E 008 31;53.7333333333;8.51666666667
duesseldorf;N 51 14;E 006 45;51.2333333333;6.75
DUISBURG;N 51 25;E 006 45;51.4166666667;6.75
eckernfoerde;N 54 28;E 009 51;54.4666666667;9.85
emden;N 53 21;E 007 11;53.35;7.18333333333
emmerich;N 51 50;E 006 15;51.8333333333;6.25
erlangen;N 49 35;E 010 59;49.5833333333;10.9833333333
fassmerwerft;N 53 11;E 008 33;53.1833333333;8.55
ferryfischerhuettes;N 54 09;E 009 22;54.15;9.36666666667
flensburg;N 54 48;E 009 27;54.8;9.45
frankfurtammain;N 50 07;E 008 44;50.1166666667;8.73333333333
friedrichskoog;N 54 00;E 008 53;54.0;8.88333333333
geesthacht;N 53 26;E 010 21;53.4333333333;10.35
GLUECKSTADT;N 53 47;E 009 25;53.7833333333;9.41666666667
groemitz;N 54 08;E 010 57;54.1333333333;10.95
gruenendeich;N 53 35;E 009 36;53.5833333333;9.6
haldensleben;N 52 17;E 011 24;52.2833333333;11.4
HAMBURG;N 53 31;E 009 56;53.5166666667;9.93333333333
hanau;N 50 07;E 008 55;50.1166666667;8.91666666667
harlesiel;N 53 42;E 007 49;53.7;7.81666666667
heiligenhafen;N 54 22;E 010 60;54.3666666667;11.0
HELGOLAND;N 54 11;E 007 54;54.1833333333;7.9
hochdonn;N 54 01;E 009 18;54.0166666667;9.3
hoernum;N 54 46;E 008 18;54.7666666667;8.3
husum;N 54 28;E 009 02;54.4666666667;9.03333333333
juist;N 53 40;E 006 60;53.6666666667;7.0
kappeln;N 54 39;E 009 56;54.65;9.93333333333
karlsruhe;N 49 01;E 008 19;49.0166666667;8.31666666667
kelheim;N 48 55;E 011 55;48.9166666667;11.9166666667
KIEL;N 54 22;E 010 11;54.3666666667;10.1833333333
koeln;N 50 56;E 006 58;50.9333333333;6.96666666667
koenigswinter;N 50 41;E 007 11;50.6833333333;7.18333333333
kuehlungsborn;N 54 09;E 011 46;54.15;11.7666666667
langeoog;N 53 44;E 007 30;53.7333333333;7.5
lauenburg;N 53 22;E 010 34;53.3666666667;10.5666666667
leer;N 53 13;E 007 27;53.2166666667;7.45
leverkusen;N 51 01;E 006 58;51.0166666667;6.96666666667
listsylt;N 55 01;E 008 26;55.0166666667;8.43333333333
lubmin;N 54 09;E 013 40;54.15;13.6666666667
ludwigshafen;N 49 30;E 008 26;49.5;8.43333333333
LUEBECK;N 53 53;E 010 45;53.8833333333;10.75
lueneburg;N 53 14;E 010 29;53.2333333333;10.4833333333
maasholm;N 54 41;E 009 59;54.6833333333;9.98333333333
magdeburg;N 52 10;E 011 40;52.1666666667;11.6666666667
mainz;N 50 01;E 008 15;50.0166666667;8.25
mannheim;N 49 29;E 008 29;49.4833333333;8.48333333333
marl;N 51 41;E 007 05;51.6833333333;7.08333333333
moelln;N 53 38;E 010 41;53.6333333333;10.6833333333
moormerland;N 53 20;E 007 20;53.3333333333;7.33333333333
muelheimanderruhr;N 51 26;E 006 51;51.4333333333;6.85
MUKRAN;N 54 29;E 013 36;54.4833333333;13.6
neuharlingersiel;N 53 42;E 007 42;53.7;7.7
neuss;N 51 13;E 006 42;51.2166666667;6.7
NEUSTADT;N 54 06;E 010 48;54.1;10.8
niehl;N 50 59;E 006 59;50.9833333333;6.98333333333
norddeich;N 53 37;E 007 10;53.6166666667;7.16666666667
nordenham;N 53 30;E 008 31;53.5;8.51666666667
norderney;N 53 42;E 007 10;53.7;7.16666666667
nordstrand;N 54 30;E 008 48;54.5;8.8
nuernberg;N 49 25;E 011 02;49.4166666667;11.0333333333
ottmarsheim;N 47 48;E 007 32;47.8;7.53333333333
papenburg;N 53 06;E 007 22;53.1;7.36666666667
passau;N 48 35;E 013 26;48.5833333333;13.4333333333
peenemuende;N 54 08;E 013 46;54.1333333333;13.7666666667
pilotruester;N 54 15;E 009 37;54.25;9.61666666667
puttgarden;N 54 30;E 011 14;54.5;11.2333333333
regensburg;N 49 01;E 012 08;49.0166666667;12.1333333333
rendsburg;N 54 18;E 009 42;54.3;9.7
riesa;N 51 19;E 013 17;51.3166666667;13.2833333333
ROSTOCK;N 54 08;E 012 07;54.1333333333;12.1166666667
roth;N 49 14;E 011 09;49.2333333333;11.15
SASSNITZ;N 54 31;E 013 38;54.5166666667;13.6333333333
schluettsiel;N 54 41;E 008 45;54.6833333333;8.75
speyer;N 49 19;E 008 27;49.3166666667;8.45
spiekeroog;N 53 46;E 007 42;53.7666666667;7.7
spyck;N 51 50;E 006 10;51.8333333333;6.16666666667
stadersand;N 53 38;E 009 31;53.6333333333;9.51666666667
STRALSUND;N 54 18;E 013 06;54.3;13.1
straubing;N 48 54;E 012 40;48.9;12.6666666667
tangermuende;N 52 33;E 011 59;52.55;11.9833333333
TRAVEMUENDE;N 53 57;E 010 52;53.95;10.8666666667
uerdingen;N 51 21;E 006 40;51.35;6.66666666667
vierow;N 54 08;E 013 34;54.1333333333;13.5666666667
wangerooge;N 53 47;E 007 52;53.7833333333;7.86666666667
WEDEL;N 53 34;E 009 42;53.5666666667;9.7
weilamrhein;N 47 36;E 007 35;47.6;7.58333333333
wesel;N 51 39;E 006 36;51.65;6.6
westdorf;N 53 43;E 007 22;53.7166666667;7.36666666667
westerdeich;N 53 41;E 007 22;53.6833333333;7.36666666667
wewelsfleth;N 53 50;E 009 24;53.8333333333;9.4
wieck;N 54 06;E 013 27;54.1;13.45
WILHELMSHAVEN;N 53 35;E 008 06;53.5833333333;8.1
WISCHHAFEN;N 53 46;E 009 20;53.7666666667;9.33333333333
WISMAR;N 53 54;E 011 27;53.9;11.45
wittenberge;N 52 59;E 011 45;52.9833333333;11.75
woerthamrhein;N 49 04;E 008 18;49.0666666667;8.3
WOLGAST;N 54 03;E 013 47;54.05;13.7833333333
worms;N 49 39;E 008 22;49.65;8.36666666667
wuerzburg;N 49 48;E 009 54;49.8;9.9
wykfoehr;N 54 41;E 008 34;54.6833333333;8.56666666667
takoradi;N 04 55;W 001 43;4.91666666667;-1.71666666667
tema;N 05 38;E 000 01;5.63333333333;0.0166666666667
agioitheodoroi%20;N 37 55;E 023 05;37.9166666667;23.0833333333
ampelakia;N 37 57;E 023 33;37.95;23.55
andirrion;N 38 20;E 021 46;38.3333333333;21.7666666667
chalkis;N 38 26;E 023 36;38.4333333333;23.6
corfu;N 39 38;E 019 55;39.6333333333;19.9166666667
drepanoriou;N 38 20;E 021 51;38.3333333333;21.85
elevsis;N 38 02;E 023 33;38.0333333333;23.55
ermoupoli;N 37 26;E 024 57;37.4333333333;24.95
gavrion;N 37 53;E 024 44;37.8833333333;24.7333333333
glyfada;N 37 53;E 023 44;37.8833333333;23.7333333333
heraklion;N 35 21;E 025 09;35.35;25.15
kalamaki;N 37 55;E 023 42;37.9166666667;23.7
kalilimenes;N 34 56;E 024 48;34.9333333333;24.8
kimolos;N 36 47;E 024 35;36.7833333333;24.5833333333
kos;N 36 54;E 027 17;36.9;27.2833333333
lavrio;N 37 43;E 024 04;37.7166666667;24.0666666667
mykonos;N 37 27;E 025 20;37.45;25.3333333333
mytilene;N 39 06;E 026 33;39.1;26.55
naxos;N 37 06;E 025 22;37.1;25.3666666667
patras;N 38 14;E 021 44;38.2333333333;21.7333333333
patrasrio;N 38 19;E 021 47;38.3166666667;21.7833333333
PERAMA;N 37 57;E 023 35;37.95;23.5833333333
PIRAEUS;N 37 56;E 023 39;37.9333333333;23.65
prinosthassou;N 40 46;E 024 35;40.7666666667;24.5833333333
rhodos;N 36 27;E 028 14;36.45;28.2333333333
thessaloniki;N 40 36;E 022 55;40.6;22.9166666667
thira;N 36 24;E 025 26;36.4;25.4333333333
tinos;N 37 32;E 025 10;37.5333333333;25.1666666667
saintgeorges;N 12 03;W 061 45;12.05;-61.75
barrios;N 15 44;W 088 36;15.7333333333;-88.6
puertoquetzal%20;N 13 55;W 090 48;13.9166666667;-90.8
santotomas;N 15 42;W 088 37;15.7;-88.6166666667
conakry;N 09 31;W 013 43;9.51666666667;-13.7166666667
portkamsar;N 10 39;W 014 38;10.65;-14.6333333333
georgetown;N 06 47;W 058 11;6.78333333333;-58.1833333333
caphaitien;N 19 45;W 072 11;19.75;-72.1833333333
labadee;N 19 47;W 072 15;19.7833333333;-72.25
portauprince;N 18 33;W 072 22;18.55;-72.3666666667
puertocortes;N 15 50;W 087 57;15.8333333333;-87.95
budapest;N 47 31;E 019 03;47.5166666667;19.05
akranes;N 64 19;W 022 05;64.3166666667;-22.0833333333
akureyri;N 65 41;W 018 05;65.6833333333;-18.0833333333
dalvik;N 65 58;W 018 32;65.9666666667;-18.5333333333
eskifjordur;N 65 04;W 014 01;65.0666666667;-14.0166666667
flateyri;N 66 03;W 023 31;66.05;-23.5166666667
grindavik;N 63 50;W 022 25;63.8333333333;-22.4166666667
grundarfjoerour;N 64 55;W 023 15;64.9166666667;-23.25
husavik;N 66 03;W 017 21;66.05;-17.35
keflavik;N 64 00;W 022 33;64.0;-22.55
olafsvik;N 64 54;W 023 42;64.9;-23.7
patreksfjordur;N 65 36;W 024 00;65.6;-24.0
porlakshoefn;N 63 52;W 021 22;63.8666666667;-21.3666666667
reydartfjordur;N 65 02;W 014 13;65.0333333333;-14.2166666667
reykjavik;N 64 09;W 021 53;64.15;-21.8833333333
rificeland;N 64 55;W 023 49;64.9166666667;-23.8166666667
sandgerdi;N 64 02;W 022 43;64.0333333333;-22.7166666667
siglufjordur;N 66 09;W 018 55;66.15;-18.9166666667
stykkisholmur;N 65 05;W 022 43;65.0833333333;-22.7166666667
suoureyri;N 66 08;W 023 31;66.1333333333;-23.5166666667
talknafjordur;N 65 38;W 023 49;65.6333333333;-23.8166666667
alang;N 21 23;E 072 13;21.3833333333;72.2166666667
budgebudge;N 22 29;E 088 11;22.4833333333;88.1833333333
chennai;N 13 06;E 080 18;13.1;80.3
cochin;N 09 58;E 076 16;9.96666666667;76.2666666667
dhamra;N 20 49;E 086 58;20.8166666667;86.9666666667
ennore;N 13 16;E 080 21;13.2666666667;80.35
gangavaram;N 17 37;E 083 14;17.6166666667;83.2333333333
haldia;N 22 02;E 088 05;22.0333333333;88.0833333333
hazira;N 21 08;E 072 40;21.1333333333;72.6666666667
kakinada;N 16 58;E 082 16;16.9666666667;82.2666666667
kandla;N 23 01;E 070 13;23.0166666667;70.2166666667
karwarport;N 14 48;E 074 07;14.8;74.1166666667
kattupalli;N 13 18;E 080 21;13.3;80.35
kolkata;N 22 35;E 088 19;22.5833333333;88.3166666667
krishnapatnam;N 14 15;E 080 08;14.25;80.1333333333
mangalore;N 12 56;E 074 49;12.9333333333;74.8166666667
mormugao;N 15 25;E 073 48;15.4166666667;73.8
mumbai;N 18 56;E 072 51;18.9333333333;72.85
mundra;N 22 45;E 069 39;22.75;69.65
nhavasheva;N 18 57;E 072 57;18.95;72.95
panaji;N 15 30;E 073 50;15.5;73.8333333333
paradip;N 20 16;E 086 40;20.2666666667;86.6666666667
pipavav;N 20 55;E 071 30;20.9166666667;71.5
pirpau;N 18 59;E 072 54;18.9833333333;72.9
sanghi;N 23 23;E 068 34;23.3833333333;68.5666666667
tuticorin;N 08 45;E 078 13;8.75;78.2166666667
visakhapatnam;N 17 42;E 083 17;17.7;83.2833333333
amamapare;S 04 50;E 136 51;-4.83333333333;136.85
ambon;S 03 40;E 128 12;-3.66666666667;128.2
anyer;S 06 02;E 105 56;-6.03333333333;105.933333333
bakauheni;S 05 52;E 105 45;-5.86666666667;105.75
balikpapan;S 01 12;E 116 47;-1.2;116.783333333
balongan;S 06 20;E 108 26;-6.33333333333;108.433333333
banjarmasin;S 03 19;E 114 33;-3.31666666667;114.55
bantam;N 01 04;E 103 56;1.06666666667;103.933333333
batuampar;N 01 10;E 103 60;1.16666666667;104.0
baubau;S 05 27;E 122 37;-5.45;122.616666667
belawan;N 03 47;E 098 40;3.78333333333;98.6666666667
bengkulu;S 03 55;E 102 18;-3.91666666667;102.3
bitung;N 01 27;E 125 13;1.45;125.216666667
bojonegara;S 05 59;E 106 07;-5.98333333333;106.116666667
bontang;N 00 11;E 117 30;0.183333333333;117.5
bontangbadak;N 00 05;E 117 29;0.0833333333333;117.483333333
cigading;S 06 01;E 105 57;-6.01666666667;105.95
cilacap;S 07 43;E 109 00;-7.71666666667;109.0
cirebon;S 06 43;E 108 35;-6.71666666667;108.583333333
denpasar;S 08 45;E 115 13;-8.75;115.216666667
dumai;N 01 43;E 101 26;1.71666666667;101.433333333
gilimanuk;S 08 10;E 114 26;-8.16666666667;114.433333333
gresik;S 07 10;E 112 40;-7.16666666667;112.666666667
jakarta;S 06 06;E 106 54;-6.1;106.9
kendari;S 03 59;E 122 35;-3.98333333333;122.583333333
ketapang;S 08 08;E 114 24;-8.13333333333;114.4
kotabaru;S 03 15;E 116 12;-3.25;116.2
kualatanjung;N 03 23;E 099 28;3.38333333333;99.4666666667
kumai;S 02 42;E 111 46;-2.7;111.766666667
kupang;S 10 12;E 123 31;-10.2;123.516666667
labuhan;S 06 24;E 105 49;-6.4;105.816666667
lembar;S 08 44;E 116 04;-8.73333333333;116.066666667
lhoknga;N 05 27;E 095 15;5.45;95.25
lhokseumawe;N 05 14;E 097 05;5.23333333333;97.0833333333
makassar;S 05 08;E 119 25;-5.13333333333;119.416666667
manggis;S 08 31;E 115 31;-8.51666666667;115.516666667
manokwari;S 00 52;E 134 04;-0.866666666667;134.066666667
mataram;S 08 35;E 116 04;-8.58333333333;116.066666667
merak;S 05 56;E 106 03;-5.93333333333;106.05
pacitan;S 08 16;E 111 22;-8.26666666667;111.366666667
padang;S 01 00;E 100 22;-1.0;100.366666667
palembang;S 02 59;E 104 49;-2.98333333333;104.816666667
palu;S 00 46;E 119 49;-0.766666666667;119.816666667
pangkalpinang;S 02 06;E 106 08;-2.1;106.133333333
pantoloan;S 00 43;E 119 51;-0.716666666667;119.85
pontianak;N 00 01;E 109 20;0.0166666666667;109.333333333
probolinggo;S 07 43;E 113 13;-7.71666666667;113.216666667
samarinda;S 00 33;E 117 10;-0.55;117.166666667
sampit;S 02 40;E 113 01;-2.66666666667;113.016666667
saumlaki;S 07 59;E 131 18;-7.98333333333;131.3
semarang;S 06 57;E 110 26;-6.95;110.433333333
siammaspion;S 07 07;E 112 38;-7.11666666667;112.633333333
situbondooffshorelng;S 07 37;E 113 59;-7.61666666667;113.983333333
surabaya;S 07 12;E 112 44;-7.2;112.733333333
tanjungbara;N 00 32;E 117 39;0.533333333333;117.65
tanjungmerangas;N 00 02;E 117 32;0.0333333333333;117.533333333
tanjungpandan;S 02 45;E 107 39;-2.75;107.65
tanjungpemancingan;S 03 13;E 116 17;-3.21666666667;116.283333333
tarakan;N 03 19;E 117 34;3.31666666667;117.566666667
tarjun;S 03 17;E 116 07;-3.28333333333;116.116666667
tegal;S 06 51;E 109 08;-6.85;109.133333333
telukkabung;S 01 02;E 100 24;-1.03333333333;100.4
tual;S 05 37;E 132 45;-5.61666666667;132.75
bandarabbas;N 27 06;E 056 05;27.1;56.0833333333
larakisland;N 26 53;E 056 33;26.8833333333;56.55
lavanisland;N 26 48;E 053 17;26.8;53.2833333333
sirriisland;N 25 55;E 054 34;25.9166666667;54.5666666667
basraoilterminal;N 29 40;E 048 50;29.6666666667;48.8333333333
khoralamayaoilterm;N 29 47;E 048 48;29.7833333333;48.8
khor%20al%20zubair;N 30 10;E 047 53;30.1666666667;47.8833333333
ummqasr;N 30 02;E 047 58;30.0333333333;47.9666666667
cobh;N 51 51;W 008 19;51.85;-8.31666666667
cork;N 51 51;W 008 17;51.85;-8.28333333333
dublin;N 53 21;W 006 12;53.35;-6.2
killybegs;N 54 38;W 008 26;54.6333333333;-8.43333333333
kilroot;N 54 43;W 005 45;54.7166666667;-5.75
rosslare;N 52 15;W 006 20;52.25;-6.33333333333
waterford;N 52 16;W 007 04;52.2666666667;-7.06666666667
ramsey;N 54 19;W 004 22;54.3166666667;-4.36666666667
ashdod;N 31 50;E 034 39;31.8333333333;34.65
ashkelon;N 31 38;E 034 30;31.6333333333;34.5
eilat;N 29 32;E 034 56;29.5333333333;34.9333333333
hadera;N 32 28;E 034 53;32.4666666667;34.8833333333
haifa;N 32 49;E 035 01;32.8166666667;35.0166666667
ancona;N 43 37;E 013 30;43.6166666667;13.5
augusta;N 37 13;E 015 12;37.2166666667;15.2
bari;N 41 08;E 016 51;41.1333333333;16.85
brindisi;N 40 39;E 017 58;40.65;17.9666666667
cagliari;N 39 13;E 009 06;39.2166666667;9.1
carloforte;N 39 09;E 008 19;39.15;8.31666666667
carrara;N 44 02;E 010 02;44.0333333333;10.0333333333
casamicciolaterme%20;N 40 45;E 013 55;40.75;13.9166666667
catania;N 37 30;E 015 06;37.5;15.1
chioggia;N 45 13;E 012 17;45.2166666667;12.2833333333
civitavecchia;N 42 07;E 011 46;42.1166666667;11.7666666667
formia;N 41 15;E 013 37;41.25;13.6166666667
gaeta;N 41 13;E 013 34;41.2166666667;13.5666666667
gela;N 37 01;E 014 14;37.0166666667;14.2333333333
GENOVA;N 44 24;E 008 51;44.4;8.85
gioiatauro;N 38 27;E 015 54;38.45;15.9
LASPEZIA;N 44 05;E 009 51;44.0833333333;9.85
livorno;N 43 33;E 010 19;43.55;10.3166666667
marinagrande;N 40 33;E 014 15;40.55;14.25
messina;N 38 12;E 015 34;38.2;15.5666666667
monfalcone;N 45 47;E 013 33;45.7833333333;13.55
naples;N 40 50;E 014 16;40.8333333333;14.2666666667
neapel;N 40 50;E 014 16;40.8333333333;14.2666666667
ortona;N 42 21;E 014 25;42.35;14.4166666667
palermo;N 38 08;E 013 22;38.1333333333;13.3666666667
pantelleria;N 36 50;E 011 56;36.8333333333;11.9333333333
pescara;N 42 28;E 014 14;42.4666666667;14.2333333333
portoempedocle;N 37 17;E 013 32;37.2833333333;13.5333333333
Porto%20Nogaro;N 45 47;E 013 14;45.7833333333;13.2333333333
portotorres;N 40 51;E 008 23;40.85;8.38333333333
portovesme;N 39 12;E 008 24;39.2;8.4
procida;N 40 46;E 014 02;40.7666666667;14.0333333333
ravenna;N 44 28;E 012 15;44.4666666667;12.25
reggiocalabria;N 38 07;E 015 39;38.1166666667;15.65
salerno;N 40 40;E 014 45;40.6666666667;14.75
santantioco;N 39 03;E 008 28;39.05;8.46666666667
sarroch;N 39 05;E 009 02;39.0833333333;9.03333333333
savona;N 44 19;E 008 30;44.3166666667;8.5
siracusa;N 37 07;E 015 15;37.1166666667;15.25
sorrento;N 40 38;E 014 23;40.6333333333;14.3833333333
taranto;N 40 28;E 017 12;40.4666666667;17.2
termoli;N 42 00;E 015 00;42.0;15.0
trapani;N 38 01;E 012 31;38.0166666667;12.5166666667
trieste;N 45 38;E 013 47;45.6333333333;13.7833333333
vadoligure;N 44 16;E 008 27;44.2666666667;8.45
venedig;N 45 25;E 012 15;45.4166666667;12.25
viareggio;N 43 51;E 010 15;43.85;10.25
villasangiovanni;N 38 13;E 015 38;38.2166666667;15.6333333333
kingstonjamaica;N 17 58;W 076 48;17.9666666667;-76.8
port%20esquivel;N 17 53;W 077 08;17.8833333333;-77.1333333333
rocky%20point;N 17 49;W 077 09;17.8166666667;-77.15
aji;N 34 23;E 134 07;34.3833333333;134.116666667
akadomari;N 37 52;E 138 25;37.8666666667;138.416666667
akita;N 39 46;E 140 03;39.7666666667;140.05
akitafunagawa;N 39 52;E 139 51;39.8666666667;139.85
aomori;N 40 50;E 140 44;40.8333333333;140.733333333
beppu;N 33 18;E 131 30;33.3;131.5
chibaport;N 35 35;E 140 06;35.5833333333;140.1
fukuyama;N 34 27;E 133 25;34.45;133.416666667
fushikitoyama;N 36 46;E 137 09;36.7666666667;137.15
futtsu;N 35 32;E 140 28;35.5333333333;140.466666667
gushikawa;N 26 20;E 127 51;26.3333333333;127.85
hachinohe;N 40 33;E 141 32;40.55;141.533333333
hakata;N 33 37;E 130 23;33.6166666667;130.383333333
hakodate;N 41 48;E 140 41;41.8;140.683333333
higashiharima;N 34 43;E 134 49;34.7166666667;134.816666667
himeji;N 34 46;E 134 39;34.7666666667;134.65
hiroshima;N 34 21;E 132 26;34.35;132.433333333
hitachi;N 36 30;E 140 37;36.5;140.616666667
hitachinaka;N 36 25;E 140 38;36.4166666667;140.633333333
hososhima;N 32 26;E 131 39;32.4333333333;131.65
ichihara;N 35 31;E 140 03;35.5166666667;140.05
imabari;N 34 04;E 133 01;34.0666666667;133.016666667
imabariship;N 34 07;E 132 58;34.1166666667;132.966666667
ishikari;N 43 12;E 141 18;43.2;141.3
ishinomaki;N 38 25;E 141 18;38.4166666667;141.3
iwakuni;N 34 12;E 132 15;34.2;132.25
kagoshima;N 31 32;E 130 32;31.5333333333;130.533333333
kanazawa;N 36 37;E 136 36;36.6166666667;136.6
kashima;N 35 55;E 140 41;35.9166666667;140.683333333
kiire;N 31 23;E 130 33;31.3833333333;130.55
kikuma;N 34 03;E 132 51;34.05;132.85
kinuura;N 34 52;E 136 58;34.8666666667;136.966666667
kisarazu;N 35 21;E 139 52;35.35;139.866666667
kobe;N 34 41;E 135 13;34.6833333333;135.216666667
kochi;N 33 32;E 133 34;33.5333333333;133.566666667
kudamatsu;N 33 59;E 131 51;33.9833333333;131.85
kure;N 34 14;E 132 33;34.2333333333;132.55
kurihama;N 35 13;E 139 43;35.2166666667;139.716666667
kushiro;N 42 59;E 144 21;42.9833333333;144.35
marugame;N 34 18;E 133 47;34.3;133.783333333
matsuura;N 33 21;E 129 42;33.35;129.7
matsuyama;N 33 50;E 132 42;33.8333333333;132.7
miikefukuoka;N 33 01;E 130 25;33.0166666667;130.416666667
minamata;N 32 12;E 130 23;32.2;130.383333333
mishima-kawanoe;N 34 00;E 133 33;34.0;133.55
miura;N 35 08;E 139 37;35.1333333333;139.616666667
miyazaki;N 31 55;E 131 28;31.9166666667;131.466666667
mizushima;N 34 30;E 133 43;34.5;133.716666667
moji;N 33 56;E 130 59;33.9333333333;130.983333333
muroran;N 42 21;E 140 58;42.35;140.966666667
nagashima;N 32 11;E 130 06;32.1833333333;130.1
nagasukumamoto;N 32 55;E 130 28;32.9166666667;130.466666667
nagoya;N 35 02;E 136 50;35.0333333333;136.833333333
naha;N 26 14;E 127 40;26.2333333333;127.666666667
nakanoseki;N 34 01;E 131 33;34.0166666667;131.55
namikata;N 34 07;E 132 54;34.1166666667;132.9
nanao;N 37 04;E 136 59;37.0666666667;136.983333333
naoetsu;N 37 12;E 138 16;37.2;138.266666667
nemuro;N 43 20;E 145 35;43.3333333333;145.583333333
niigatanishi;N 37 58;E 139 08;37.9666666667;139.133333333
niihama;N 33 58;E 133 18;33.9666666667;133.3
numazu;N 35 05;E 138 51;35.0833333333;138.85
nyugawa;N 33 56;E 133 07;33.9333333333;133.116666667
oarai;N 36 18;E 140 35;36.3;140.583333333
ogasawara;N 27 06;E 142 12;27.1;142.2
oita;N 33 16;E 131 40;33.2666666667;131.666666667
