Harbor;Latitude;Longitude;Latitude2;Longitude2
portodetubarao;S 20 18;W 040 14;-20.3;-40.2333333333
recife;S 08 03;W 034 52;-8.05;-34.8666666667
riodejaneiro;S 22 54;W 043 10;-22.9;-43.1666666667
riogrande;S 32 05;W 052 05;-32.0833333333;-52.0833333333
salvadordabahia;S 12 58;W 038 31;-12.9666666667;-38.5166666667
santana;S 00 04;W 051 08;-0.0666666666667;-51.1333333333
santos;S 23 56;W 046 20;-23.9333333333;-46.3333333333
saofranciscodosul;S 26 13;W 048 38;-26.2166666667;-48.6333333333
saosebastiao;S 23 48;W 045 25;-23.8;-45.4166666667
suape;S 08 24;W 034 58;-8.4;-34.9666666667
tramandai;S 29 60;W 050 04;-30.0;-50.0666666667
viladoconde;S 01 34;W 048 46;-1.56666666667;-48.7666666667
vitoria;S 20 19;W 040 19;-20.3166666667;-40.3166666667
burgas;N 42 28;E 027 30;42.4666666667;27.5
sozopol;N 42 25;E 027 41;42.4166666667;27.6833333333
varna;N 43 12;E 027 54;43.2;27.9
sihanoukville;N 10 41;E 103 33;10.6833333333;103.55
douala;N 04 02;E 009 41;4.03333333333;9.68333333333
limbe;N 04 01;E 009 12;4.01666666667;9.2
limbohterminal;N 04 00;E 009 08;4.0;9.13333333333
tiko;N 04 04;E 009 24;4.06666666667;9.4
argentia;N 47 18;W 053 59;47.3;-53.9833333333
Blacks%20Harbour;N 45 03;W 066 48;45.05;-66.8
canaport;N 45 12;W 065 59;45.2;-65.9833333333
comebychance;N 47 47;W 054 00;47.7833333333;-54.0
crofton;N 48 53;W 123 38;48.8833333333;-123.633333333
halifax;N 44 39;W 063 34;44.65;-63.5666666667
hamiltoncan;N 43 17;W 079 49;43.2833333333;-79.8166666667
horseshoebay;N 49 23;W 123 16;49.3833333333;-123.266666667
longpond;N 47 31;W 052 59;47.5166666667;-52.9833333333
milneinlet;N 71 53;W 080 52;71.8833333333;-80.8666666667
montreal;N 45 26;W 073 46;45.4333333333;-73.7666666667
mulgrave;N 45 36;W 061 23;45.6;-61.3833333333
nanaimo;N 49 11;W 123 56;49.1833333333;-123.933333333
newwestminster;N 49 10;W 122 59;49.1666666667;-122.983333333
northfraser;N 49 12;W 123 07;49.2;-123.116666667
northsydney;N 46 13;W 060 14;46.2166666667;-60.2333333333
pointenoireca;N 50 10;W 066 29;50.1666666667;-66.4833333333
portalberni;N 49 13;W 124 49;49.2166666667;-124.816666667
portcartier;N 50 02;W 066 47;50.0333333333;-66.7833333333
portcolborne;N 42 53;W 079 15;42.8833333333;-79.25
portedward;N 54 14;W 130 18;54.2333333333;-130.3
hawkesbury;N 45 35;W 061 21;45.5833333333;-61.35
portweller;N 43 14;W 079 13;43.2333333333;-79.2166666667
princerupert;N 54 18;W 130 20;54.3;-130.333333333
quebec;N 46 48;W 071 12;46.8;-71.2
ridleyisland;N 54 14;W 130 20;54.2333333333;-130.333333333
stjohn;N 45 16;W 066 04;45.2666666667;-66.0666666667
sarnia;N 42 59;W 082 25;42.9833333333;-82.4166666667
saultstemarie;N 46 29;W 084 21;46.4833333333;-84.35
septiles;N 50 12;W 066 23;50.2;-66.3833333333
sorel;N 46 02;W 073 08;46.0333333333;-73.1333333333
steveston;N 49 07;W 123 10;49.1166666667;-123.166666667
stjohnsca;N 47 34;W 052 42;47.5666666667;-52.7
sydneycanada;N 46 09;W 060 12;46.15;-60.2
thunderbay;N 48 24;W 089 12;48.4;-89.2
toronto;N 43 39;W 079 21;43.65;-79.35
troisrivieres;N 46 20;W 072 32;46.3333333333;-72.5333333333
vancouver;N 49 12;W 122 59;49.2;-122.983333333
victoriacanada;N 48 26;W 123 25;48.4333333333;-123.416666667
mindelo;N 16 53;W 024 60;16.8833333333;-25.0
porto%20novo;N 17 01;W 025 04;17.0166666667;-25.0666666667
antofagasta;S 23 39;W 070 24;-23.65;-70.4
arica;S 18 28;W 070 19;-18.4666666667;-70.3166666667
coquimbo;S 29 57;W 071 21;-29.95;-71.35
coronel;S 37 02;W 073 10;-37.0333333333;-73.1666666667
huasco;S 28 28;W 071 15;-28.4666666667;-71.25
lirquen;S 36 43;W 072 59;-36.7166666667;-72.9833333333
mejillones;S 23 04;W 070 24;-23.0666666667;-70.4
puertomontt;S 41 31;W 072 59;-41.5166666667;-72.9833333333
puntaarenas;S 53 09;W 070 53;-53.15;-70.8833333333
quintero;S 32 45;W 071 30;-32.75;-71.5
sanantonio;S 33 35;W 071 37;-33.5833333333;-71.6166666667
sanvicente;S 36 44;W 073 08;-36.7333333333;-73.1333333333
talcahuano;S 36 43;W 073 05;-36.7166666667;-73.0833333333
tocopilla;S 22 06;W 070 13;-22.1;-70.2166666667
valparaiso;S 33 02;W 071 37;-33.0333333333;-71.6166666667
anqing;N 30 30;E 117 04;30.5;117.066666667
aojiang;N 27 35;E 120 34;27.5833333333;120.566666667
basuo;N 19 05;E 108 37;19.0833333333;108.616666667
bayuquan;N 40 22;E 122 10;40.3666666667;122.166666667
beigouzhen;N 37 47;E 120 38;37.7833333333;120.633333333
beihai;N 21 27;E 109 05;21.45;109.083333333
bilixiang;N 26 27;E 119 42;26.45;119.7
bohaixiang;N 39 59;E 119 50;39.9833333333;119.833333333
cangzhou;N 38 19;E 117 53;38.3166666667;117.883333333
caobeidian;N 38 57;E 118 31;38.95;118.516666667
caofeidian;N 38 57;E 118 32;38.95;118.533333333
caojingzhen;N 30 46;E 121 27;30.7666666667;121.45
changbaiisland;N 30 10;E 122 02;30.1666666667;122.033333333
changshu;N 31 46;E 120 58;31.7666666667;120.966666667
changzhou;N 31 58;E 120 02;31.9666666667;120.033333333
chenghai;N 23 26;E 116 57;23.4333333333;116.95
chengnei;N 20 16;E 110 13;20.2666666667;110.216666667
chiwan;N 22 29;E 113 52;22.4833333333;113.866666667
chongwu;N 24 53;E 118 56;24.8833333333;118.933333333
dachanbay;N 22 32;E 113 52;22.5333333333;113.866666667
dafeng;N 33 17;E 120 49;33.2833333333;120.816666667
daishan;N 30 16;E 122 09;30.2666666667;122.15
dalian;N 38 58;E 121 45;38.9666666667;121.75
damendao;N 28 00;E 121 04;28.0;121.066666667
dandong;N 39 51;E 124 09;39.85;124.15
dasha;N 30 08;E 122 04;30.1333333333;122.066666667
dayangshenisland;N 30 35;E 122 04;30.5833333333;122.066666667
dongguan;N 23 01;E 113 42;23.0166666667;113.7
donghaizhen;N 24 53;E 118 41;24.8833333333;118.683333333
dongshandao;N 23 45;E 117 31;23.75;117.516666667
dongshi;N 24 40;E 118 27;24.6666666667;118.45
dongtou;N 27 50;E 121 08;27.8333333333;121.133333333
dongying;N 37 16;E 119 01;37.2666666667;119.016666667
doumen;N 22 13;E 113 18;22.2166666667;113.3
etouwan;N 21 51;E 112 55;21.85;112.916666667
fangchenggang;N 21 36;E 108 22;21.6;108.366666667
fengcheng;N 36 41;E 121 14;36.6833333333;121.233333333
fengqiancun;N 25 10;E 118 59;25.1666666667;118.983333333
foshan;N 22 59;E 113 05;22.9833333333;113.083333333
fujianguanhai;N 26 09;E 119 36;26.15;119.6
fuqingsongxia;N 25 41;E 119 35;25.6833333333;119.583333333
fuzhou;N 26 03;E 119 20;26.05;119.333333333
gaoming;N 22 53;E 112 53;22.8833333333;112.883333333
gaoqiaozhen;N 40 49;E 121 03;40.8166666667;121.05
guandongterminal;N 22 35;E 114 26;22.5833333333;114.433333333
guangzhou;N 22 57;E 113 29;22.95;113.483333333
gulangyu;N 24 25;E 118 03;24.4166666667;118.05
haian;N 20 16;E 110 13;20.2666666667;110.216666667
haianrailferry;N 20 14;E 110 07;20.2333333333;110.116666667
haikou;N 20 04;E 110 16;20.0666666667;110.266666667
haimen;N 31 47;E 121 06;31.7833333333;121.1
hanjiang;N 24 49;E 118 43;24.8166666667;118.716666667
heshan;N 24 32;E 118 11;24.5333333333;118.183333333
hongkong;N 22 21;E 114 08;22.35;114.133333333
hongxong;N 31 37;E 121 24;31.6166666667;121.4
houlingcun;N 39 59;E 119 50;39.9833333333;119.833333333
houshi;N 24 19;E 118 08;24.3166666667;118.133333333
hrddchongmingislang;N 31 36;E 121 27;31.6;121.45
huadu;N 23 22;E 113 20;23.3666666667;113.333333333
huanghaiyard;N 36 56;E 122 28;36.9333333333;122.466666667
huanghua;N 38 19;E 117 53;38.3166666667;117.883333333
huangpu;N 23 06;E 113 26;23.1;113.433333333
